Cl.,Postl Code,External Number
900,06256,006917090
900,06258,006917090
900,06259,006917090
900,06260,006917090
900,06262,006917090
900,06263,006917090
900,06264,006917090
900,06264,006917967
900,06266,006917090
900,06267,006917090
900,06268,006917090
900,06277,006917090
900,06278,006917090
900,06279,006917090
900,06280,006917090
900,06281,006917090
900,06282,006917090
900,06320,006917090
900,06330,006917090
900,06331,006917090
900,06332,006917090
900,06333,006917090
900,06335,006917090
900,06339,006917090
900,06340,006917090
900,06350,006917090
900,06351,006917090
900,06353,006917090
900,06354,006917090
900,06355,006917090
900,06357,006917090
900,06359,006917090
900,06360,006917090
900,06360,006917967
900,06365,006917090
900,06370,006917090
900,06371,006917090
900,06372,006917090
900,06373,006917090
900,06374,006917090
900,06375,006917090
900,06377,006917090
900,06378,006917090
900,06379,006917090
900,06382,006917090
900,06383,006917090
900,06384,006917090
900,06385,006917090
900,06387,006917090
900,06389,006917090
900,06401,006917967
900,06403,006917090
900,06405,006917090
900,06405,006917967
900,06408,006917090
900,06409,006917090
900,06410,006917090
900,06411,006917090
900,06412,006917090
900,06413,006917090
900,06414,006917090
900,06415,006917090
900,06416,006917090
900,06417,006917090
900,06418,006917967
900,06419,006917090
900,06420,006917090
900,06422,006917090
900,06423,006917090
900,06424,006917090
900,06426,006917090
900,06437,006917090
900,06438,006917090
900,06439,006917090
900,06441,006917090
900,06442,006917090
900,06443,006917090
900,06444,006917090
900,06447,006917090
900,06450,006917090
900,06450,006917967
900,06451,006917090
900,06455,006917090
900,06456,006917090
900,06457,006917090
900,06460,006917090
900,06460,006917967
900,06461,006917967
900,06467,006917090
900,06468,006917090
900,06468,006917967
900,06469,006917090
900,06470,006917090
900,06471,006917090
900,06471,006917967
900,06473,006917967
900,06474,006917090
900,06475,006917090
900,06477,006917967
900,06478,006917090
900,06479,006917090
900,06480,006917090
900,06481,006917090
900,06482,006917090
900,06483,006917090
900,06484,006917090
900,06484,006917967
900,06488,006917090
900,06489,006917090
900,06498,006917090
900,06510,006917090
900,06510,006917967
900,06511,006917090
900,06511,006917967
900,06512,006917967
900,06513,006917090
900,06513,006917967
900,06514,006917967
900,06515,006917090
900,06515,006917967
900,06516,006917967
900,06517,006917967
900,06518,006917090
900,06518,006917967
900,06519,006917967
900,06524,006917090
900,06525,006917090
900,06525,006917967
900,06534,006917090
900,06540,006917090
900,06601,006917967
900,06604,006917967
900,06605,006917090
900,06605,006917967
900,06606,006917967
900,06607,006917967
900,06608,006917090
900,06608,006917967
900,06608,006956551
900,06610,006917967
900,06611,006917090
900,06611,006917967
900,06612,006917967
900,06614,006917967
900,06615,006917967
900,06702,006917090
900,06704,006917090
900,06704,006917967
900,06705,006917090
900,06706,006917090
900,06708,006917090
900,06710,006917090
900,06712,006917090
900,06716,006917090
900,06723,006917090
900,06750,006917090
900,06751,006917090
900,06752,006917090
900,06753,006917090
900,06754,006917090
900,06755,006917090
900,06756,006917090
900,06757,006917090
900,06758,006917090
900,06759,006917090
900,06762,006917090
900,06763,006917090
900,06770,006917090
900,06770,006917967
900,06776,006917090
900,06777,006917090
900,06778,006917090
900,06779,006917090
900,06781,006917090
