Utility_Code,Utility,DUNS,AcctLength,InputMask,my_fixes,InputMaskResponse,Bill_Method,PricingMethod,UtilityAbbrev,UtilityID,State,CommodityID,Commodity,Unit,UnitAbbrev,EDI_Unit,RateType,DefaultSPL,Sender Name,Rules,DistributorName,Sister_Utility_Code,AllowBackDatedPricing,TaxRate,TaxInfo,DualBilling,BudgetBilling,TaxBackout,ManualEnrollments,InvCancelRefsUsage,PricingUnit,PricingUnitAbbrev,UsageHistoryUnit,UsageHistoryUnitAbbrev,InvoicingUnit,InvoicingUnitAbbrev,AcceptingEnrolments,VendorID,UtilitySlug
38,National Fuel Gas Company,6976666,9,0,,,1,Unique,NFG,38,NY,2,Gas,Hundred Cubic Feet,ccf,HH,,NFG,,,National Fuel Gas,,1,,0,0,1,0,0,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,1,1,nfg
77,National Fuel Gas Company - PA,6976666,9,0,,,1,Unique,NFGPA,77,PA,2,Gas,Hundred Cubic Feet,ccf,HH,,NFGPA,,,National Fuel Gas,,1,,0,0,1,0,0,0,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,Hundred Cubic Feet,ccf,0,,nfgpa
71,National Grid (Keyspan LI),848068529,10,0,,,2,Unique,KEDLI,71,NY,2,Gas,Therm,thm,TD,,KLI,,,Keyspan LI,,1,,0,0,0,0,0,0,Therm,thm,Therm,thm,Therm,thm,0,1,kedli
41,National Grid (Keyspan NY),178077227,10,0,,,2,Unique,KEDNY,41,NY,2,Gas,Therm,thm,TD,,KNY,,,Keyspan NY,,1,,0,0,1,0,0,0,Therm,thm,Therm,thm,Therm,thm,1,1,kedny
39,National Grid (Niagara Mohawk) - GAS,6994735,10,0,,,1,Unique,NIMO-GAS,39,NY,2,Gas,Therm,thm,TD,,NMG,,,Niagara Mohawk,2,0,,0,0,0,0,1,0,Therm,thm,Therm,thm,Therm,thm,1,1,nimo_gas
49,New Jersey Natural Gas,61843553,12,00000000000&,,,1,Unique,NJNG,49,NJ,2,Gas,Therm,thm,TD,,NJN,,,New Jersey Natural Gas,,0,0.07,0,0,0,1,0,0,Therm,thm,Therm,thm,Therm,thm,1,1,njng
4,New York State Electric And Gas - Electric,6977763,15,"""N01""000000000000",,,2,Inherit,NYSEG,4,NY,1,Electric,Kilowatt Hour,kWh,KH,,,,Must begin with N0 (POD ID),New York State Electric and Gas,53,1,,0,0,0,0,0,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,nyseg
53,New York State Electric And Gas - Gas,6977763,15,N02000000000000,,,2,Unique,NYSEG-GAS,53,NY,2,Gas,Therm,thm,TD,,,,,New York State Electric and Gas,4,1,,0,0,0,0,0,0,Therm,thm,Therm,thm,Therm,thm,1,1,nyseg_gas
2,Niagara Mohawk,6994735,10,0,,,1,Inherit,NGRID,2,NY,1,Electric,Kilowatt Hour,kWh,KH,Rate Code,,,All Numbers,Niagara Mohawk,39,0,,0,0,0,0,1,0,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,ngrid
70,Nicor Gas,6927792,10,0,,,2,Unique,NICOR,70,IL,2,Gas,Therm,thm,TD,,NICOR,,,NICOR Gas,,1,,0,0,0,0,0,0,Therm,thm,Therm,thm,Therm,thm,0,,nicor
79,North Shore Gas,6936306,13,0,,,2,Unique,NShore,79,IL,2,Gas,Therm,thm,TD,,NSHORE,,All numeric,North Shore Gas,,1,,0,0,0,0,0,0,Therm,thm,Therm,thm,Therm,thm,0,,nshore
42,NSTAR Boston Edison,6951552,11,0,,,1,Unique,BECO,42,MA,1,Electric,Kilowatt Hour,kWh,KH,,,,,NStar - BECO,,0,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,beco
43,NSTAR Cambridge,6953665,11,0,,,1,Unique,CAMB,43,MA,1,Electric,Kilowatt Hour,kWh,KH,,,,,NStar - CAMB,,0,,0,0,0,0,0,1,Kilowatt Hour,kWh,Kilowatt Hour,kWh,Kilowatt Hour,kWh,1,1,camb
